year,make,model,trim,body,transmission,state,odometer,color,sellingprice,odometer_custom
2014,Ford,F-150,XLT,supercrew,automatic,ga,17895.0,—,27000.0,0-20k
2013,Infiniti,G Coupe,G37x,coupe,automatic,il,13883.0,red,26800.0,0-20k
2014,Ford,Fusion,SE,sedan,automatic,fl,24309.0,—,17700.0,20k-40k
2014,Ford,E-Series Van,E-250,van,,fl,9607.0,white,20500.0,0-20k
2013,Infiniti,JX,JX35,suv,automatic,ga,47245.0,silver,29100.0,40k-60k
2013,Nissan,Altima,2.5,sedan,,ca,33147.0,—,12000.0,20k-40k
2012,Ford,Taurus,SEL,sedan,automatic,tx,81411.0,—,11700.0,80k-100k
2011,Lexus,RX 350,Base,suv,automatic,oh,53101.0,silver,22500.0,40k-60k
2012,Honda,Accord,EX-L V-6,coupe,automatic,nj,24186.0,white,15000.0,20k-40k
2011,Toyota,RAV4,Limited,suv,automatic,oh,25969.0,silver,20700.0,20k-40k
2012,Toyota,Prius,Three,hatchback,automatic,fl,39364.0,blue,13600.0,20k-40k
2010,Dodge,Ram Pickup 1500,Laramie,cab,automatic,tx,65665.0,silver,16800.0,60k-80k
2014,Buick,Enclave,Leather Group,suv,automatic,tn,35382.0,—,29600.0,20k-40k
2011,Chrysler,200,LX,sedan,automatic,tx,119791.0,red,4800.0,More than 100k
2012,Lincoln,MKX,Base,suv,automatic,ny,48171.0,off-white,24300.0,40k-60k
2013,GMC,Yukon XL,SLT 1500,suv,automatic,ut,60241.0,white,26400.0,60k-80k
2014,Ford,C-Max Hybrid,SEL,wagon,automatic,mo,25642.0,black,17300.0,20k-40k
2013,Dodge,Grand Caravan,SXT,van,automatic,fl,57656.0,silver,11400.0,40k-60k
2011,Cadillac,Escalade ESV,Luxury,suv,automatic,pa,77123.0,black,32100.0,60k-80k
2012,Ford,Edge,SEL,suv,automatic,wi,23090.0,white,22000.0,20k-40k
2012,BMW,Z4,sDrive28i,convertible,manual,fl,8845.0,red,30200.0,0-20k
2012,Ford,Fusion,SEL,sedan,automatic,pa,51525.0,—,10400.0,40k-60k
2013,Hyundai,Tucson,GLS,suv,automatic,ga,43065.0,red,15000.0,40k-60k
2012,Ford,Focus,SE,hatchback,automatic,ca,65609.0,black,9300.0,60k-80k
2011,Subaru,Legacy,2.5i Limited,sedan,automatic,va,105014.0,white,9000.0,More than 100k
2012,Suzuki,Equator,Sport,cab,automatic,ca,18424.0,silver,14900.0,0-20k
2011,Mercedes-Benz,M-Class,ML350 4MATIC,suv,,pa,52714.0,—,24600.0,40k-60k
2010,Dodge,Challenger,SE,coupe,automatic,tn,53150.0,blue,16250.0,40k-60k
2015,GMC,Sierra 1500,SLE,cab,automatic,mi,12120.0,brown,32500.0,0-20k
2012,Honda,Civic,LX,sedan,automatic,ga,30477.0,blue,11700.0,20k-40k
2012,Mercedes-Benz,S-Class,S350 BlueTEC 4MATIC,sedan,automatic,ca,34751.0,gray,37500.0,20k-40k
2012,Kia,Forte,Koup SX,coupe,,pa,36034.0,gray,11800.0,20k-40k
2014,Ford,Taurus,Limited,sedan,automatic,tx,33855.0,gray,18000.0,20k-40k
2014,Porsche,Cayman,S,coupe,automatic,tx,5961.0,black,59250.0,0-20k
2013,Land Rover,Range Rover Evoque,Pure Plus,suv,,pa,16651.0,black,35500.0,0-20k
2010,Subaru,Impreza,Outback Sport,hatchback,automatic,ga,58935.0,blue,13800.0,40k-60k
2013,Toyota,RAV4,XLE,suv,automatic,wa,35456.0,blue,21200.0,20k-40k
2012,Volkswagen,Jetta,SE PZEV,sedan,,pa,18944.0,beige,11400.0,0-20k
2014,Kia,Soul,+,wagon,automatic,mo,25739.0,—,13100.0,20k-40k
2013,Toyota,Camry,LE,sedan,automatic,oh,44626.0,black,13600.0,40k-60k
2011,Ford,Edge,Limited,suv,automatic,nj,28279.0,blue,20500.0,20k-40k
2012,Hyundai,Elantra,GLS,sedan,automatic,oh,81609.0,black,4700.0,80k-100k
2012,Infiniti,G Sedan,G37x,sedan,automatic,tn,18375.0,black,19800.0,0-20k
2014,Kia,Soul,+,wagon,,nj,12130.0,black,13200.0,0-20k
2011,Chevrolet,HHR,LT,wagon,automatic,sc,49488.0,silver,8500.0,40k-60k
